id,term,definition,bounded_context,related_terms,aliases_to_avoid,status,approved_by,approval_date
DT-PT-001,action,A named capability registered by an app with typed input/output schemas and an async handler,BC-PT-001,,tool|method|function,draft,,
DT-PT-002,action_route,An MCP tool mapped to a remote app action via the gateway session registry,BC-PT-002,DT-PT-001,action|tool,draft,,
DT-PT-003,session,App-side connection state machine tracking handshake/claim/close lifecycle,BC-PT-001,DT-PT-004,gateway_session|connection,draft,,
DT-PT-004,gateway_session,"Server-side per-connection state tracking invocations, subscriptions, and claimed app identity",BC-PT-002,DT-PT-003,session|app_session,draft,,
DT-PT-005,invoke,Execute a locally-registered action handler with validated input and cancellation support,BC-PT-001,DT-PT-006,route|dispatch,draft,,
DT-PT-006,route_invocation,Forward an MCP tool call to the correct remote app session's registered action,BC-PT-002,DT-PT-005,invoke|execute,draft,,
DT-PT-007,resume,Client-initiated reconnection using stored credentials to recover a previous session,BC-PT-001,DT-PT-008,reconnect|gateway_resume,draft,,
DT-PT-008,zombie_recovery,"Server-side replay of missed notifications and state restoration for a disconnected app session",BC-PT-002,DT-PT-007,resume|reconnect,draft,,
DT-PT-009,manifest,"Discovery document listing an app's actions and resources, served via UDS or filesystem",BC-PT-001,,capability_list|service_description,draft,,
DT-PT-010,manifest_watch,Gateway-side filesystem polling for app manifest changes to update MCP tool registration,BC-PT-002,DT-PT-009,manifest|discovery,draft,,
DT-PT-011,transport,Protocol-agnostic async message channel providing send/receive/close contract,BC-PT-003,,connection|socket|channel,draft,,
DT-PT-012,dispatcher,"JSON-RPC envelope router: classifies messages as request/notification/response and routes to registered handlers",BC-PT-004,,router|handler|processor,draft,,
DT-PT-013,handshake,"Protocol version negotiation and identity exchange via hello/welcome message pair",BC-PT-004,,connection_setup|negotiation,draft,,
DT-PT-014,elicitation,"Structured data collection from an MCP agent via the gateway, with JSON Schema validation",BC-PT-004,,prompt|form|query,draft,,
DT-PT-015,sampling,"Request to an MCP agent's LLM for text completion, with depth limiting to prevent recursion",BC-PT-004,,completion|inference|llm_call,draft,,
